view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 22666}]",22666,instructions,0,22671,0.0-0.0,anon_subject_34,659f04805339f753c1b65235,65a04790fcd1e50633ac35c2,0.7572490404532561,instructions,session-65a04834c6250
"[{'page_index': 0, 'viewing_time': 23598}]",23598,instructions,0,23600,0.0-0.0,anon_subject_100,659f04805339f753c1b65235,65a03eb12526f0c2765ca39b,0.39447283722353355,instructions,session-65a03f547a3c0
"[{'page_index': 0, 'viewing_time': 32262}]",32263,instructions,0,32268,0.0-0.0,anon_subject_24,659f04805339f753c1b65235,65a03f64ee5c94479846d5d1,0.7502314815888207,instructions,session-65a0402b0caee
"[{'page_index': 0, 'viewing_time': 65329}]",65330,instructions,0,65334,0.0-0.0,anon_subject_236,659f04805339f753c1b65235,65a03f17cb1340048e21034e,0.9355140316739947,instructions,session-65a0408b98e5b
"[{'page_index': 0, 'viewing_time': 34481}]",34481,instructions,0,34483,0.0-0.0,anon_subject_169,659f04805339f753c1b65235,65a05a60afefad5d38f372e2,0.28789187637557345,instructions,session-65a05b175dd44
"[{'page_index': 0, 'viewing_time': 19663}]",19664,instructions,0,19670,0.0-0.0,anon_subject_39,659f04805339f753c1b65235,65a05a7097cef2e56e5ff016,0.9865838288692361,instructions,session-65a05b056049a
"[{'page_index': 0, 'viewing_time': 10257}]",10258,instructions,0,10261,0.0-0.0,anon_subject_228,659f04805339f753c1b65235,65a02da2158e1166c55f4805,0.6331516146143021,instructions,session-65a02eaac68f9
"[{'page_index': 0, 'viewing_time': 23877}]",23877,instructions,0,23994,0.0-0.0,anon_subject_208,659f04805339f753c1b65235,65a03ea3fc7c4acd585d5f99,0.9043168482406388,instructions,session-65a03f3e9d711
"[{'page_index': 0, 'viewing_time': 13597}]",13597,instructions,0,13599,0.0-0.0,anon_subject_135,659f04805339f753c1b65235,65a027e846af5282e74c23ba,0.9562123336792084,instructions,session-65a0288579c79
"[{'page_index': 0, 'viewing_time': 10223}]",10223,instructions,0,10226,0.0-0.0,anon_subject_108,659f04805339f753c1b65235,65a0472c5068c51fec46d7f4,0.669953994252998,instructions,session-65a0479d56db7
"[{'page_index': 0, 'viewing_time': 25929}]",25930,instructions,0,25937,0.0-0.0,anon_subject_203,659f04805339f753c1b65235,65a05a80fcd1e50633ac3a85,0.03156731321970008,instructions,session-65a05b3062cab
"[{'page_index': 0, 'viewing_time': 29233}]",29234,instructions,0,29241,0.0-0.0,anon_subject_270,659f04805339f753c1b65235,65a05a98f34b5631810f80f0,0.19200286173063308,instructions,session-65a05bae7c14a
"[{'page_index': 0, 'viewing_time': 2486}]",2487,instructions,0,2491,0.0-0.0,anon_subject_36,659f04805339f753c1b65235,65a03f18c9e1a662cc1f605f,0.8424170852455777,instructions,session-65a040092721c
